İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
27/05/2020,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
16/06/2020,Acura,CL,-,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Mavi ,Sedan,Sahibinden,2. El,127000,151500
14/06/2020,Acura,CL,2.2,1994.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Turkuaz ,Sedan,Sahibinden,2. El,175000,19750
11/06/2020,Acura,CL,-,2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Kahverengi ,Sedan,Sahibinden,2. El,325,52000
11/06/2020,Acura,CL,2.2,2010.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Sahibinden,2. El,207000,148750
04/06/2020,Acura,CL,2.2,1999.0,Dizel,Düz Vites,1801-2000 cc,101-125 BG,Lacivert ,Roadster,Galeriden,2. El,320000,42500
03/06/2020,Acura,CL,2.2,2014.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Sedan,Galeriden,2. El,183,170000
02/06/2020,Acura,CL,-,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,79000,82500
29/05/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Sedan,Yetkili,0 km,15662,189000
29/05/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Sedan,Yetkili,0 km,31971,189000
24/05/2020,Acura,CL,-,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,252000,36750
08/05/2020,Acura,CL,-,2010.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Gri ,Sedan,Galeriden,2. El,232000,52000
07/05/2020,Acura,CL,-,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,168000,84000
27/04/2020,Acura,CL,-,2004.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,230000,32000
27/04/2020,Acura,CL,-,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Lacivert ,Sedan,Sahibinden,2. El,18000,34500
24/04/2020,Acura,CL,-,2012.0,Dizel,Otomatik Vites,1801-2000 cc,201-225 BG,Siyah ,Sedan,Galeriden,2. El,249000,235000
23/04/2020,Acura,CL,-,2017.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,76-100 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,70000,97500
23/04/2020,Acura,CL,-,2013.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,210000,234900
21/04/2020,Acura,CL,-,2004.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Kahverengi ,Sedan,Sahibinden,2. El,240000,50000
08/04/2020,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501-3000 cc,126-150 BG,Siyah ,Arazi Aracı,Galeriden,2. El,54000,457500
20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Diğer,Yetkili,0 km,13500,175000
20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Gri ,Diğer,Yetkili,0 km,14000,175000
20/04/2020,Acura,CL,2.2,2012.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,270,82500
20/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi ,Sedan,Galeriden,0 km,29550,173900
15/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,16563,179250
15/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11281,179250
15/04/2020,Acura,CL,-,2009.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Bordo ,Sedan,Sahibinden,2. El,150000,34000
15/04/2020,Acura,CL,-,2009.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Bordo ,Sedan,Sahibinden,2. El,150000,34000
14/04/2020,Acura,CL,2.2,2016.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,70000,77500
14/04/2020,Acura,CL,-,2011.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,182,62000
12/04/2020,Acura,CL,Diğer,2012.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Gümüş Gri ,Sedan,Sahibinden,2. El,99750,86500
09/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11453,176750
09/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Siyah ,Diğer,Yetkili,0 km,50943,186750
08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11936,176750
08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,12840,176750
08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,10209,176750
08/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,12008,176750
06/04/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi ,Sedan,Galeriden,0 km,29218,178900
03/04/2020,Acura,CL,2.2,2011.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000
25/03/2020,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
01/04/2020,Acura,CL,Diğer,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gri ,Sedan,Sahibinden,2. El,170000,55000
27/03/2020,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11400,176750
26/03/2020,Acura,CL,2.2,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750
22/03/2020,Acura,CL,-,2014.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Sahibinden,2. El,89000,345000
21/03/2020,Acura,TL,Diğer,2016.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Beyaz ,Sedan,Sahibinden,2. El,172000,92000
25/03/2020,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
16/06/2020,Alfa Romeo,147,1.6 TS Distinctive,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,220000,45000
15/06/2020,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,114000,113000
31/05/2020,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750
28/05/2020,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000
